"","V1","V2","V3","V4","V5","V6","V7"
"1","1","-1.17420407272657","0.366098232777299","4.22774943688893","3.16219124961356","-6.6678053609197","-6.15911949264987"
"2","2","-1.24138451964746","-0.33973610376345","2.35637414369872","2.23221260650622","-12.7168159642456","-14.3505666037354"
"3","3","-1.50766497525296","-0.227070553091035","-1.2487945960307","0.504635161831692","-17.7994646802157","-17.1850613090599"
"4","4","-1.21016035787974","-0.603221913514607","1.91336513260459","1.95577670180018","-10.4843105968851","-8.78708503736376"
"5","5","-2.18348079352432","-0.166875654641061","0.681035656333279","0.74888982607467","-22.3060751025443","-21.373699972647"
"6","6","0.163077602946539","-0.0203596546550686","5.5760585380369","3.70266297192045","-5.10210942681441","-4.460514407779"
"7","7","-0.782325146597027","0.44278070055906","3.62963398648289","4.57585347681215","-6.7258167652116","-7.1329724180247"
"8","8","-1.67130105771334","-0.07286555383516","0.725881815956842","0.803321939605279","-16.8095356842568","-15.3395867112397"
"9","9","-1.57261969483063","0.516087339807501","0.828982776572179","0.632998227916688","-12.2292541294101","-10.8986243290973"
"10","10","-1.0403453677772","-0.858433310540779","-0.369497777257004","0.340612083582287","-9.51483245013496","-7.37579436053695"
"11","11","-0.28237274006904","-1.07124572612762","3.31703261815696","2.76096309974659","-4.04963682409518","-6.39908251565893"
"12","12","-0.990665595762998","0.124007885171248","2.4890005645081","3.94737285581308","-9.82493395052409","-8.22045650874015"
"13","13","-1.86171793718972","0.0657425586909429","2.31954422540407","2.51652289631468","-16.0750570741388","-15.8571689549268"
"14","14","-1.25340402824392","-0.549808503226293","3.0478189347283","2.06998190937782","-11.2067910397014","-7.5103162354487"
"15","15","-2.31820363145674","-0.322514481149863","-1.20701316219323","-0.00436615628852748","-22.8181729709534","-20.3735080458611"
"16","16","-0.786544309080287","-0.718383183478595","1.12745219164676","2.06630861398242","-8.50442683729528","-4.59054672555814"
"17","17","-0.393991718623859","-0.0603658837568393","5.00112342627275","3.94933398285195","-8.26515708330077","-8.77603400415608"
"18","18","-0.514768265641805","0.542097414451615","3.98744341135314","1.24679064827846","-2.63485342694778","-2.38021623204051"
"19","19","-2.45688822917322","-0.357846326351536","0.154880211988011","0.527376306588623","-19.9158470562819","-22.7200221923386"
"20","20","-0.427694517461735","0.155680355307407","2.60365817998377","1.43229365736863","-2.16047984271087","-4.69393701714061"
"21","21","-0.0206224746574098","-0.97868277049958","4.51237542705689","3.62055308864776","-0.0932852500417809","-1.69642483542706"
"22","22","-2.14386335688474","-0.536567921874619","0.644498262883596","-0.061499816702122","-15.8055884023208","-19.3506303280811"
"23","23","0.613744090446182","-0.333573344500005","6.81757060592177","4.08732096128816","5.11178229343528","4.70211414206195"
"24","24","-0.872679481161569","-0.337832696146866","3.54083448295301","1.60191469195366","-9.15705805490022","-4.47095260956155"
"25","25","-0.61452475183458","-0.239915139231011","4.74558720265299","4.55349027963896","-10.8876378195659","-8.50183889072988"
"26","26","-0.504514470486214","-0.0553778806952167","4.54714352463356","3.03021841317663","-2.05350214231671","-3.30308958324648"
"27","27","-1.48545990303184","-0.627546978403865","4.10677107350274","3.83646989453862","-10.47572458607","-11.3358088529195"
"28","28","-1.02922056598715","0.0614758315321541","3.42259328299204","3.06834382458659","-13.516679669306","-12.9836423323228"
"29","29","-1.36275744232739","-0.699455392276617","0.693476274790592","0.899188306462339","-11.1851054764959","-13.7844026923961"
"30","30","-1.29527068272206","-0.729158357721089","1.70443979725626","1.28562150315143","-16.8777496969756","-15.9792007214294"
"31","31","-1.34323401838808","-0.219946339811832","0.294982954298056","0.378128347380375","-10.2741155620036","-10.8762888904709"
"32","32","0.219490746078541","-0.127308647085665","3.16774830803881","2.67851062107164","0.958366681811835","0.295387456524503"
"33","33","-1.36262019280513","-0.561404009531572","2.97398535937704","2.73392647470504","-13.3313099375363","-15.0531546981262"
"34","34","-1.37206638234662","0.0521569441605399","4.04832459271447","2.02086868588417","-9.9541009510049","-11.3534676026116"
"35","35","-2.18384590787714","-0.838044616459706","1.48124236206698","1.67697104315094","-21.6940734781592","-20.8999061058943"
"36","36","-0.434941178547633","0.604365322050299","3.73921724733024","2.63876183922571","-5.60929702874533","-6.42551212149846"
"37","37","-1.89399470339632","-0.385269686955586","0.250730074754836","1.28090234587887","-14.2535025958961","-13.9894164888869"
"38","38","-1.93652310066876","-0.883686922292445","0.545700569757603","-0.03750981176135","-12.5098282772535","-15.2517097702506"
"39","39","-0.956215751456453","0.394159924247159","3.21408111755151","2.27296221139226","-13.0481091713276","-11.0193432450316"
"40","40","-0.366320478733418","0.0934857797156148","5.05197928909803","3.69976429024007","-6.73690939169885","-4.66849807682922"
"41","41","-0.0496382979217249","-0.616303957778024","5.12227801824719","3.98163818334044","-1.90320483947238","-0.805568068802698"
"42","42","-0.670360705626658","0.0886461579165317","3.47396232476595","1.79745269081352","-7.32335891193876","-7.94742190366926"
"43","43","-1.28436735432041","0.13370483637131","2.94311474401387","3.80762062778294","-8.79291341444983","-11.1383625494693"
"44","44","-0.775610392695185","-0.439179229327306","0.531487837593401","1.19315793676505","-13.0531283937665","-12.4090324402042"
"45","45","-2.07851062325162","-0.235866959808814","0.887678071572756","0.56365338846965","-23.1821001244391","-22.3707682886947"
"46","46","-2.09508319430608","-0.371464432818222","1.57626750408084","2.11090138227761","-19.9153806551056","-17.9412633049184"
